City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country
Avarua,-21.2078,-159.775,77.0,88,75,2.3,CK
Port Alfred,-33.5906,26.891,73.0,79,81,1.01,ZA
Rio Grande,-32.035,-52.0986,73.99,73,75,17.27,BR
Sangar,63.9242,127.4739,-44.68,75,0,3.78,RU
New Norfolk,-42.7826,147.0587,64.4,68,100,6.91,AU
Rikitea,-23.1203,-134.9692,77.97,69,99,11.74,PF
Longyearbyen,78.2186,15.6401,19.4,68,75,18.41,SJ
Lebu,-37.6167,-73.65,71.24,49,0,6.35,CL
Deogarh,21.5333,84.7333,63.3,29,4,1.54,IN
Barrow,71.2906,-156.7887,-27.4,75,1,16.11,US
Punta Arenas,-53.15,-70.9167,64.4,42,20,35.68,CL
Chokurdakh,70.6333,147.9167,-10.12,85,0,17.25,RU
Mahébourg,-20.4081,57.7,82.4,69,75,14.97,MU
Tasiilaq,65.6145,-37.6368,24.8,80,75,21.85,GL
San Cristobal,7.7669,-72.225,84.2,58,20,4.61,VE
Saskylakh,71.9167,114.0833,-41.84,75,0,5.44,RU
Saldanha,-33.0117,17.9442,78.8,50,0,20.71,ZA
Pevek,69.7008,170.3133,-13.5,79,0,11.86,RU
Katsuura,35.1333,140.3,48.2,49,20,12.66,JP
Puerto Ayora,-0.7393,-90.3518,84.2,65,0,14.97,EC
Qaanaaq,77.484,-69.3632,-21.68,60,32,8.9,GL
Bera,24.0833,89.6167,64.54,51,50,2.86,BD
Mossamedes,-15.1961,12.1522,78.8,57,20,26.46,AO
Bluff,-46.6,168.3333,47.61,82,57,11.01,NZ
Ahipara,-35.1667,173.1667,59.81,88,7,5.01,NZ
Albany,42.6001,-73.9662,32.0,58,5,11.99,US
Mercedes,-34.6515,-59.4307,75.99,55,0,4.0,AR
Atar,20.5169,-13.0499,90.55,10,81,13.18,MR
Peniche,39.3558,-9.3811,59.0,74,100,1.99,PT
Carnarvon,-24.8667,113.6333,78.8,86,100,26.46,AU
Kapaa,22.0752,-159.319,62.6,72,90,5.75,US
Ancud,-41.8697,-73.8203,75.2,57,0,10.36,CL
Geraldton,-28.7667,114.6,80.6,28,100,24.16,AU
Shenjiamen,29.9576,122.298,47.8,77,69,7.29,CN
Kaitangata,-46.2817,169.8464,52.0,73,0,7.0,NZ
Vila Franca do Campo,37.7167,-25.4333,55.4,67,40,23.02,PT
Tuktoyaktuk,69.4541,-133.0374,-40.0,67,1,10.36,CA
Port-Gentil,-0.7193,8.7815,87.8,70,40,12.66,GA
Butaritari,3.0707,172.7902,80.33,84,100,14.9,KI
Busselton,-33.65,115.3333,57.27,64,0,15.99,AU
Yellowknife,62.456,-114.3525,-24.0,68,75,10.36,CA
