City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country
San Nicolas,18.1725,120.5953,80.8,77,68,5.97,PH
Ushuaia,-54.8,-68.3,46.06,76,75,27.63,AR
Bluff,-46.6,168.3333,44.8,84,100,23.2,NZ
Maryborough,-25.5333,152.7,66.54,99,32,5.37,AU
Boulsa,12.6675,-0.5758,89.02,34,5,6.08,BF
Butaritari,3.0707,172.7902,82.36,65,100,17.63,KI
Forécariah,9.4306,-13.0881,82.26,90,82,2.59,GN
Aykhal,66.0,111.5,26.53,71,100,4.85,RU
Annau,37.8876,58.516,56.7,28,0,6.91,TM
Callaway,30.153,-85.5699,80.01,80,40,3.0,US
New Norfolk,-42.7826,147.0587,53.74,82,49,1.28,AU
Busselton,-33.65,115.3333,41.09,67,87,3.58,AU
Blessington,53.17,-6.5325,50.61,87,20,13.8,IE
Hermanus,-34.4187,19.2345,54.9,71,37,7.11,ZA
Vaini,-21.2,-175.2,75.36,88,90,8.05,TO
Yilan,24.757,121.753,84.31,99,45,3.8,TW
Puerto Baquerizo Moreno,-0.9,-89.6,76.19,69,75,18.41,EC
Lasang,7.2669,125.665,77.09,100,75,2.3,PH
Olds,51.7834,-114.102,68.23,16,5,19.57,CA
Punta Arenas,-53.15,-70.9167,44.71,70,75,32.21,CL
Bredasdorp,-34.5322,20.0403,50.29,78,13,1.72,ZA
Cienfuegos,22.1461,-80.4356,86.81,74,40,6.91,CU
Torbay,47.6666,-52.7314,59.29,84,75,5.75,CA
Tasiilaq,65.6145,-37.6368,39.36,55,0,5.86,GL
Rawson,-43.3002,-65.1023,60.71,31,16,13.18,AR
Yining,29.0361,114.5636,75.42,79,0,2.26,CN
Castro,-24.7911,-50.0119,63.48,98,100,1.23,BR
Atuona,-9.8,-139.0333,77.56,74,15,17.78,PF
Leningradskiy,69.3833,178.4167,17.1,84,96,4.63,RU
Codrington,-38.2667,141.9667,49.8,91,45,15.52,AU
Ancud,-41.8697,-73.8203,51.33,66,99,11.41,CL
Thompson,55.7435,-97.8558,64.56,45,75,8.05,CA
Lata,40.1629,-8.3327,60.08,77,7,4.41,PT
Zilair,52.2332,57.4392,33.57,88,13,6.13,RU
Ribeira Grande,38.5167,-28.7,73.8,83,40,11.5,PT
George Town,5.4112,100.3354,81.9,85,20,0.0,MY
Rikitea,-23.1203,-134.9692,73.4,64,100,17.65,PF
Bilibino,68.0546,166.4372,12.52,97,89,3.51,RU
Geraldton,-28.7667,114.6,48.61,93,40,3.44,AU
Puerto Ayora,-0.7393,-90.3518,72.64,76,30,11.86,EC
Omaruru,-21.4333,15.9333,64.49,30,0,4.45,NA
St. George's,12.0564,-61.7485,87.48,70,20,23.02,GD
Rabo de Peixe,37.8,-25.5833,73.27,87,75,5.75,PT
Bethel,41.3712,-73.414,77.68,64,1,5.75,US
Nikolskoye,59.7035,30.7861,50.4,85,0,6.71,RU
Cape Town,-33.9258,18.4232,57.11,53,3,18.16,ZA
Srednekolymsk,67.45,153.6833,23.22,94,95,4.25,RU
Port Alfred,-33.5906,26.891,56.8,73,48,7.9,ZA
