City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country
Asău,46.4333,26.4,37.4,93,90,10.36,RO
Yerbogachën,61.2767,108.0108,8.92,93,100,9.35,RU
Hongjiang,27.11,109.9956,66.51,93,90,0.11,CN
Jiazi,22.8779,116.067,68.65,81,98,3.42,CN
Rikitea,-23.1203,-134.9692,81.27,71,2,6.69,PF
Amga,60.8953,131.9608,-8.99,94,0,5.1,RU
Hobart,-42.8794,147.3294,57.0,62,75,8.05,AU
Torbay,47.6666,-52.7314,25.0,80,90,1.05,CA
San Policarpo,12.1791,125.5072,79.16,87,2,5.95,PH
Bredasdorp,-34.5322,20.0403,60.8,94,8,3.44,ZA
Nanortalik,60.1432,-45.2371,31.46,95,100,11.1,GL
Nagapattinam,10.7667,79.8333,76.86,76,0,5.68,IN
Maun,-19.9833,23.4167,71.6,78,0,3.58,BW
Bubaque,11.2833,-15.8333,79.02,63,19,18.23,GW
Manaure,11.7751,-72.4445,79.39,75,88,23.67,CO
Puerto Ayora,-0.7393,-90.3518,80.6,78,75,16.11,EC
Busselton,-33.65,115.3333,66.0,50,48,5.01,AU
Ushuaia,-54.8,-68.3,42.8,45,40,18.41,AR
Airai,-8.9266,125.4092,63.72,90,96,1.16,TL
Jamestown,42.097,-79.2353,36.0,21,1,5.95,US
Mataura,-46.1927,168.8643,53.01,81,76,15.01,NZ
Sur,22.5667,59.5289,74.93,49,0,3.56,OM
Aklavik,68.2191,-135.0107,-7.6,71,90,11.5,CA
Rawson,-43.3002,-65.1023,70.2,53,75,10.69,AR
Rock Sound,24.9,-76.2,73.27,68,1,12.62,BS
Padang,-0.9492,100.3543,75.2,100,75,2.3,ID
Tevaitoa,-16.7833,-151.5,82.62,74,70,10.07,PF
Abalak,58.1286,68.5944,19.53,96,97,6.98,RU
Butaritari,3.0707,172.7902,81.91,76,56,14.97,KI
San Cristobal,7.7669,-72.225,78.8,78,40,3.44,VE
Hong Kong,22.2855,114.1577,71.01,88,99,9.48,HK
Baykit,61.67,96.37,7.93,97,97,3.31,RU
Tiksi,71.6872,128.8694,-21.21,95,96,8.05,RU
Clyde River,70.4692,-68.5914,-9.4,77,40,20.71,CA
Bridlington,54.0831,-0.1919,42.01,77,100,1.01,GB
Uvinza,-5.1036,30.3911,65.66,92,83,2.01,TZ
Álamos,27.0167,-108.9333,86.0,22,0,8.59,MX
Puerto Madryn,-42.7692,-65.0385,71.55,62,66,9.06,AR
New Norfolk,-42.7826,147.0587,57.0,60,81,5.99,AU
Meridian,43.6121,-116.3915,60.01,36,1,17.27,US
Richards Bay,-28.783,32.0377,74.95,89,36,10.71,ZA
George Town,5.4112,100.3354,80.6,83,40,3.44,MY
Mbini,1.574,9.6134,75.2,100,40,4.05,GQ
Walvis Bay,-22.9575,14.5053,62.01,82,0,3.44,NA
